,rank,title,website,employees,sector,industry,hqlocation,hqaddr,hqcity,hqstate,hqzip,hqtel,ceo,ceo_title,address,ticker,fullname,revenues,revchange,profits,prftchange,assets,totshequity,uid
71,72,Best Buy,http://www.bestbuy.com,125000,Retailing,Specialty Retailers: Other,"Richfield, MN",7601 Penn Ave. S.,Richfield,MN,55423,612-291-1000,Hubert B. Joly,Chairman & Chief Executive Officer,"7601 Penn Ave. S., Richfield, MN 55423",BBY,"Best Buy Co., Inc.",39403,-0.9,1228.0,36.9,13856,4709.0,ff8563a4267a22a969114fc464eae85f
72,73,Honeywell International,http://www.honeywell.com,131000,Industrials,"Electronics, Electrical Equipment","Morris Plains, NJ",115 Tabor Rd.,Morris Plains,NJ,7950,973-455-2000,Darius Adamczyk,"President, Chief Executive Officer & Director","115 Tabor Rd., Morris Plains, NJ 07950",HON,Honeywell International Inc.,39302,1.9,4809.0,0.9,54146,19369.0,2f0fb43e0f0c3363f51010fe666894f2
73,74,Caterpillar,http://www.caterpillar.com,95400,Industrials,Construction and Farm Machinery,"Peoria, IL",100 N.E. Adams St.,Peoria,IL,61629,309-675-1000,D. James Umpleby III,Chief Executive Officer & Director,"100 N.E. Adams St., Peoria, IL 61629",CAT,Caterpillar Inc.,38537,-18.0,-67.0,-103.2,74704,13137.0,72fceab4b769a374ed563c0564e96c5b
74,75,Liberty Mutual Insurance Group,http://www.libertymutual.com,50000,Financials,Insurance: Property and Casualty (Stock),"Boston, MA",175 Berkeley St.,Boston,MA,2116,617-357-9500,David H. Long,"Chairman, President & Chief Executive Officer","175 Berkeley St., Boston, MA 02116",CAT,Liberty Mutual Holding Company Inc.,38308,-2.9,1006.0,95.7,125592,20366.0,e1991b02774ccda4f0bd1115fb8cd8ab
75,76,Morgan Stanley,http://www.morganstanley.com,55311,Financials,Commercial Banks,"New York, NY",1585 Broadway,New York,NY,10036,212-761-4000,James P. Gorman,Chairman & Chief Executive Officer,"1585 Broadway, New York, NY 10036",MS,Morgan Stanley,37949,0.1,5979.0,-2.4,814949,76050.0,af246b7e058b5dd6cba17a23ece9e506
76,77,Massachusetts Mutual Life Insurance,http://www.massmutual.com,11737,Financials,"Insurance: Life, Health (Mutual)","Springfield, MA",1295 State St.,Springfield,MA,1111,413-744-8411,Roger W. Crandall,"Chairman, President & Chief Executive Officer","1295 State St., Springfield, MA 01111",MS,Massachusetts Mutual Life Insurance Company,37788,-1.2,1273.5,-10.6,271040,15424.0,0d33e7cd462e4c3cc7b93eeabdd89c75
77,78,Goldman Sachs Group,http://www.gs.com,34400,Financials,Commercial Banks,"New York, NY",200 West St.,New York,NY,10282,212-902-1000,Lloyd C. Blankfein,Chairman & Chief Executive Officer,"200 West St., New York, NY 10282",GS,"The Goldman Sachs Group, Inc.",37712,-3.8,7398.0,21.6,860165,86893.0,05b446171044c4a75eae20f93ca3ee0d
78,79,Energy Transfer Equity,http://www.energytransfer.com,30992,Energy,Pipelines,"Dallas, TX",8111 Westchester Dr.,Dallas,TX,75225,214-981-0700,John W. McReynolds,"President, Chief Executive Officer & Director","8111 Westchester Dr., Dallas, TX 75225",ETE,"Energy Transfer Equity, L.P.",37504,-11.0,995.0,-16.3,79011,-1694.0,68a0ba6ae30aa49e07b9b41197c56335
79,80,TIAA,http://www.tiaa.org,12997,Financials,"Insurance: Life, Health (Mutual)","New York, NY",730 Third Ave.,New York,NY,10017,212-490-9000,Roger W. Ferguson Jr.,"President, Chief Executive Officer & Director","730 Third Ave., New York, NY 10017",ETE,Teachers Insurance and Annuity Association,37105,5.5,1492.3,22.9,523194,35583.0,86a1cb0314429c9f932a385697b860d8
80,81,Oracle,http://www.oracle.com,136000,Technology,Computer Software,"Redwood City, CA",500 Oracle Pkwy.,Redwood City,CA,94065,650-506-7000,"Safra A. Catz, Mark V. Hurd",Co-Chief Executive Officer & Director,"500 Oracle Pkwy., Redwood City, CA 94065",ORCL,Oracle Corporation,37047,-3.1,8901.0,-10.4,112180,47289.0,e1d19fefef88b66134fdbb03d2185043
81,82,Tyson Foods,http://www.tysonfoods.com,114000,"Food, Beverages & Tobacco",Food Production,"Springdale, AR",2200 W. Don Tyson Pkwy.,Springdale,AR,72762,479-290-4000,Thomas P. Hayes,"President, Chief Executive Officer & Director","2200 W. Don Tyson Pkwy., Springdale, AR 72762",TSN,"Tyson Foods, Inc.",36881,-10.9,1768.0,44.9,22373,9608.0,ffcb4a31756f0bf42ad84ec501525aa4
82,83,United Continental Holdings,http://www.unitedcontinentalholdings.com,88000,Transportation,Airlines,"Chicago, IL",233 S. Wacker Dr.,Chicago,IL,60606,872-825-4000,Oscar Munoz,Chief Executive Officer & Director,"233 S. Wacker Dr., Chicago, IL 60606",UAL,"United Continental Holdings, Inc.",36556,-3.5,2263.0,-69.2,40140,8659.0,b9baf63ec7d15693166d5787fc84b738
83,84,Allstate,http://www.allstate.com,43275,Financials,Insurance: Property and Casualty (Stock),"Northbrook, IL",2775 Sanders Rd.,Northbrook,IL,60062,847-402-5000,Thomas J. Wilson,Chairman & Chief Executive Officer,"2775 Sanders Rd., Northbrook, IL 60062",ALL,The Allstate Corporation,36534,2.5,1877.0,-13.5,108610,20573.0,047dc28337719ce38caa347d8f15e507
84,85,Publix Super Markets,http://www.publix.com,191000,Food & Drug Stores,Food and Drug Stores,"Lakeland, FL",3300 Publix Corporate Pkwy.,Lakeland,FL,33811,863-688-1188,Randall T. Jones Sr.,"President, Chief Executive Officer & Director","3300 Publix Corporate Pkwy., Lakeland, FL 33811",ALL,"Publix Super Markets, Inc.",34274,5.1,2025.7,3.1,17464,13473.0,47562da7a23abf2bc5d8cf6a0bc931ef
85,86,American Express,http://www.americanexpress.com,56400,Financials,Diversified Financials,"New York, NY",200 Vesey St.,New York,NY,10285,212-640-2000,Kenneth I. Chenault,Chairman & Chief Executive Officer,"200 Vesey St., New York, NY 10285",AXP,American Express Company,33823,-1.8,5408.0,4.7,158893,20501.0,0809184e8247cb6f65cad519e3f5e93c
86,87,TJX,http://www.tjx.com,235000,Retailing,Specialty Retailers: Apparel,"Framingham, MA",770 Cochituate Rd.,Framingham,MA,1701,508-390-1000,Ernie L. Herrman,"President, Chief Executive Officer & Director","770 Cochituate Rd., Framingham, MA 01701",TJX,"The TJX Companies, Inc.",33184,7.2,2298.2,0.9,12884,4511.0,509c52da5b12d98dfd44b6d39f70d0e0
87,88,Nike,http://www.nike.com,70700,Apparel,Apparel,"Beaverton, OR",1 Bowerman Dr.,Beaverton,OR,97005,503-671-6453,Mark G. Parker,"Chairman, President & Chief Executive Officer","1 Bowerman Dr., Beaverton, OR 97005",NKE,"Nike, Inc.",32376,5.8,3760.0,14.9,21396,12258.0,f8e08631cc507f094fd0c41d0de040a8
88,89,Exelon,http://www.exeloncorp.com,34396,Energy,Utilities: Gas and Electric,"Chicago, IL",10 S. Dearborn St.,Chicago,IL,60603,800-483-3220,Christopher M. Crane,"President, Chief Executive Officer & Director","10 S. Dearborn St., Chicago, IL 60603",EXC,Exelon Corporation,31360,6.5,1134.0,-50.0,114904,25837.0,88df5cf60d11b4afb2c89e7544c301cb
89,90,General Dynamics,http://www.generaldynamics.com,98800,Aerospace & Defense,Aerospace and Defense,"Falls Church, VA",2941 Fairview Park Dr.,Falls Church,VA,22042,703-876-3000,Phebe N. Novakovic,Chairman & Chief Executive Officer,"2941 Fairview Park Dr., Falls Church, VA 22042",GD,General Dynamics Corporation,31353,-0.4,2955.0,-0.3,32872,10976.0,42c25d667cd36af757228a0a26b16956
90,91,Rite Aid,http://www.riteaid.com,70580,Food & Drug Stores,Food and Drug Stores,"Camp Hill, PA",30 Hunter Lane,Camp Hill,PA,17011,717-761-2633,John T. Standley,Chairman & Chief Executive Officer,"30 Hunter Lane, Camp Hill, PA 17011",RAD,Rite Aid Corporation,30737,15.9,165.5,-92.2,11277,581.0,06245adc2f4cef6ee524606e72b2dfb2
91,92,Gilead Sciences,http://www.gilead.com,9000,Health Care,Pharmaceuticals,"Foster City, CA",333 Lakeside Dr.,Foster City,CA,94404,650-574-3000,John F. Milligan,"President, Chief Executive Officer & Director","333 Lakeside Dr., Foster City, CA 94404",GILD,"Gilead Sciences, Inc.",30390,-6.9,13501.0,-25.4,56977,18887.0,74a739938f944004a777d80cb30e853e
92,93,CHS,http://www.chsinc.com,12157,"Food, Beverages & Tobacco",Food Production,"Inver Grove Heights, MN",5500 Cenex Dr.,Inver Grove Heights,MN,55077,651-355-6000,Jay D. Debertin,"President, Chief Executive Officer & Director","5500 Cenex Dr., Inver Grove Heights, MN 55077",GILD,CHS Inc.,30347,-12.2,424.2,-45.7,17318,7852.0,7e8d07099afeed26029b1dfeafffa4cb
93,94,3M,http://www.3m.com,91584,Industrials,Miscellaneous,"St. Paul, MN",3M Center,St. Paul,MN,55144,651-733-1110,Inge G. Thulin,"Chairman, President & Chief Executive Officer","3M Center, St. Paul, MN 55144",MMM,3M Company,30109,-0.5,5050.0,4.5,32906,10298.0,25473782dd19c1bdcbd0de90c883cae0
94,95,Time Warner,http://www.timewarner.com,25000,Media,Entertainment,"New York, NY",1 Time Warner Center,New York,NY,10019,212-484-8000,Jeffrey L. Bewkes,Chairman & Chief Executive Officer,"1 Time Warner Center, New York, NY 10019",TWX,Time Warner Inc.,29318,4.3,3926.0,2.4,65966,24335.0,e2297a0d2d6a7b4932dfaf7d62c694dd
95,96,Charter Communications,http://www.charter.com,91500,Telecommunications,Telecommunications,"Stamford, CT",400 Atlantic St.,Stamford,CT,6901,203-905-7800,Thomas M. Rutledge,Chairman & Chief Executive Officer,"400 Atlantic St., Stamford, CT 06901",CHTR,"Charter Communications, Inc.",29003,197.3,3522.0,2.4,149067,40139.0,4094f8eb1838b6a596da1f63a9399809
96,97,Northwestern Mutual,http://www.northwesternmutual.com,5646,Financials,"Insurance: Life, Health (Mutual)","Milwaukee, WI",720 E. Wisconsin Ave.,Milwaukee,WI,53202,414-271-1444,John E. Schlifske,Chairman & Chief Executive Officer,"720 E. Wisconsin Ave., Milwaukee, WI 53202",CHTR,"Northwestern Mutual Life Insurance Company, Inc.",28799,2.4,818.0,0.4,250441,20226.0,c22e4ef2a2a84a8d32435ebc87d9a5a8
97,98,Facebook,http://www.facebook.com,17048,Technology,Internet Services and Retailing,"Menlo Park, CA",1601 Willow Rd.,Menlo Park,CA,94025,650-543-4800,Mark Zuckerberg,Chairman & Chief Executive Officer,"1601 Willow Rd., Menlo Park, CA 94025",FB,"Facebook, Inc.",27638,54.2,10217.0,177.0,64961,59194.0,b6180b57b66e083b3a34d459cd8be414
98,99,Travelers Cos.,http://www.travelers.com,30900,Financials,Insurance: Property and Casualty (Stock),"New York, NY",485 Lexington Ave.,New York,NY,10017,917-778-6000,Alan D. Schnitzer,Chief Executive Officer & Director,"485 Lexington Ave., New York, NY 10017",TRV,"The Travelers Companies, Inc.",27625,3.1,3014.0,-12.4,100245,23221.0,dfd2f2deeb89549e510b4852829ef77e
99,100,Capital One Financial,http://www.capitalone.com,47300,Financials,Commercial Banks,"McLean, VA",1680 Capital One Dr.,McLean,VA,22102,703-720-1000,Richard D. Fairbank,"Chairman, President & Chief Executive Officer","1680 Capital One Dr., McLean, VA 22102",COF,Capital One Financial Corporation,27519,9.6,3751.0,-7.4,357033,47514.0,a1d9cd71e560904ac9261563ec3ef296
100,101,Twenty-First Century Fox,http://www.21cf.com,21500,Media,Entertainment,"New York, NY",1211 Ave. of the Americas,New York,NY,10036,212-852-7000,James R. Murdoch,Chief Executive Officer & Director,"1211 Ave. of the Americas, New York, NY 10036",FOXA,"Twenty-First Century Fox, Inc.",27326,-5.7,2755.0,-66.8,48365,13661.0,00abca962d730bf780956e874817ba8d
101,102,USAA,http://www.usaa.com,29943,Financials,Insurance: Property and Casualty (Stock),"San Antonio, TX",9800 Fredericksburg Rd.,San Antonio,TX,78288,210-498-2211,Stuart Parker,"President, Chief Executive Officer & Director","9800 Fredericksburg Rd., San Antonio, TX 78288",FOXA,United Services Automobile Association,27131,11.4,1779.1,-21.7,147290,28840.0,469e8e7e71b057ad734116e730e7ee26
102,103,World Fuel Services,http://www.wfscorp.com,5000,Energy,Energy,"Miami, FL",9800 N.W. 41st St.,Miami,FL,33178,305-428-8000,Michael J. Kasbar,"Chairman, President & Chief Executive Officer","9800 N.W. 41st St., Miami, FL 33178",INT,World Fuel Services Corporation,27016,-11.1,126.5,-27.5,5413,1925.0,f3fd60c3661cd0797c7969112addbd08
103,104,Philip Morris International,http://www.pmi.com,79500,"Food, Beverages & Tobacco",Tobacco,"New York, NY",120 Park Ave.,New York,NY,10017,917-663-2000,Andre Calantzopoulos,Chief Executive Officer & Director,"120 Park Ave., New York, NY 10017",PM,Philip Morris International Inc.,26685,-0.4,6967.0,1.4,36851,-12688.0,798a6b9df29e906222f4c7d0b87e91a5
104,105,Deere,http://www.johndeere.com,56767,Industrials,Construction and Farm Machinery,"Moline, IL",1 John Deere Place,Moline,IL,61265,309-765-8000,Samuel R. Allen,Chairman & Chief Executive Officer,"1 John Deere Place, Moline, IL 61265",DE,Deere & Company,26644,-7.7,1523.9,-21.4,57981,6520.0,93cfbab6c03d96223c255e5f16e8409f
105,106,Kraft Heinz,http://www.kraftheinzcompany.com,41000,"Food, Beverages & Tobacco",Food Consumer Products,"Pittsburgh, PA",1 PPG Place,Pittsburgh,PA,15222,412-456-5700,Bernardo Hees,Chief Executive Officer & Director,"1 PPG Place, Pittsburgh, PA 15222",KHC,The Kraft Heinz Company,26487,44.4,3632.0,472.9,120480,57358.0,3f66ce70d03d2d9a2d08b9650187da1c
106,107,Tech Data,http://www.techdata.com,9500,Wholesalers,Wholesalers: Electronics and Office Equipment,"Clearwater, FL",5350 Tech Data Dr.,Clearwater,FL,33760,727-539-7429,Robert M. Dutkowsky,Chief Executive Officer & Director,"5350 Tech Data Dr., Clearwater, FL 33760",TECD,Tech Data Corporation,26235,-0.5,195.1,-26.6,7932,2170.0,601df485a102afbad01b5cb055855d11
107,108,Avnet,http://www.avnet.com,17700,Wholesalers,Wholesalers: Electronics and Office Equipment,"Phoenix, AZ",2211 S. 47th St.,Phoenix,AZ,85034,480-643-2000,William J. Amelio,Chief Executive Officer & Director,"2211 S. 47th St., Phoenix, AZ 85034",AVT,"Avnet, Inc.",26219,-6.1,506.5,-11.4,11240,4691.0,04581388c4aee293bcd2ae8e0dec04d1
108,109,Mondelez International,http://www.mondelezinternational.com,90000,"Food, Beverages & Tobacco",Food Consumer Products,"Deerfield, IL",3 Pkwy. N.,Deerfield,IL,60015,847-943-4000,Irene B. Rosenfeld,Chairman & Chief Executive Officer,"3 Pkwy. N., Deerfield, IL 60015",MDLZ,"Mondelez International, Inc.",25923,-12.5,1659.0,-77.2,61538,25161.0,790189d693de7e91f2ef63816346fd00
109,110,Macy’s,http://www.macysinc.com,148300,Retailing,General Merchandisers,"Cincinnati, OH",7 W. Seventh St.,Cincinnati,OH,45202,513-579-7000,Jeffrey Gennette,"President, Chief Executive Officer & Director","7 W. Seventh St., Cincinnati, OH 45202",M,"Macy's, Inc.",25778,-4.8,619.0,-42.3,19851,4323.0,23c54a344cde50de68571fdcccf27a5f
110,111,AbbVie,http://www.abbvie.com,30000,Health Care,Pharmaceuticals,"North Chicago, IL",1 N. Waukegan Rd.,North Chicago,IL,60064,847-932-7900,Richard A. Gonzalez,Chairman & Chief Executive Officer,"1 N. Waukegan Rd., North Chicago, IL 60064",ABBV,AbbVie Inc.,25638,12.2,5953.0,15.7,66099,4636.0,d46682671c681917d376226377259810
111,112,McDonald’s,http://www.aboutmcdonalds.com,375000,"Hotels, Restaurants & Leisure",Food Services,"Oak Brook, IL",1 McDonald's Plaza,Oak Brook,IL,60523,630-623-3000,Stephen J. Easterbrook,"President, Chief Executive Officer & Director","1 McDonald's Plaza, Oak Brook, IL 60523",MCD,McDonald's Corporation,24622,-3.1,4686.5,3.5,31024,-2204.0,a34df66f4535e14c26ee480c4911ae0c
112,113,DuPont,http://www.dupont.com,46000,Chemicals,Chemicals,"Wilmington, DE",974 Centre Rd.,Wilmington,DE,19805,302-774-1000,Edward D. Breen,Chairman & Chief Executive Officer,"974 Centre Rd., Wilmington, DE 19805",DD,E.I. du Pont de Nemours and Company,24594,-12.0,2513.0,28.7,39964,9998.0,46ded6363935c9571913d77bc8bf6173
113,114,Northrop Grumman,http://www.northropgrumman.com,67000,Aerospace & Defense,Aerospace and Defense,"Falls Church, VA",2980 Fairview Park Dr.,Falls Church,VA,22042,703-280-2900,Wesley G. Bush,"Chairman, President & Chief Executive Officer","2980 Fairview Park Dr., Falls Church, VA 22042",NOC,Northrop Grumman Corporation,24508,4.2,2200.0,10.6,25614,5259.0,0ba7827b4b822fc97605da8d73705e57
114,115,ConocoPhillips,http://www.conocophillips.com,13300,Energy,"Mining, Crude-Oil Production","Houston, TX",600 N. Dairy Ashford Rd.,Houston,TX,77079,281-293-1000,Ryan M. Lance,Chairman & Chief Executive Officer,"600 N. Dairy Ashford Rd. , Houston, TX 77079",COP,ConocoPhillips,24360,-21.3,-3615.0,10.6,89772,34974.0,7a9fd6af8a061d41ab4d1201e5e3e1fb
115,116,Raytheon,http://www.raytheon.com,63000,Aerospace & Defense,Aerospace and Defense,"Waltham, MA",870 Winter St.,Waltham,MA,2451,781-522-3000,Thomas A. Kennedy,Chairman & Chief Executive Officer,"870 Winter St., Waltham, MA 02451",RTN,Raytheon Company,24069,3.5,2211.0,6.6,30052,10066.0,08db2706c1255408229d8e7e1cb02e37
116,117,Tesoro,http://www.tsocorp.com,6308,Energy,Petroleum Refining,"San Antonio, TX",19100 Ridgewood Pkwy.,San Antonio,TX,78259,210-626-6000,Gregory J. Goff,"Chairman, President & Chief Executive Officer","19100 Ridgewood Pkwy., San Antonio, TX 78259",TSO,Tesoro Corporation,24005,-14.7,734.0,-52.3,20398,5465.0,a319fe903a12f1fbcdc5ff0a34ae545a
117,118,Arrow Electronics,http://www.arrow.com,18700,Wholesalers,Wholesalers: Electronics and Office Equipment,"Centennial, CO",9201 E. Dry Creek Rd.,Centennial,CO,80112,303-824-4000,Michael J. Long,"Chairman, President & Chief Executive Officer","9201 E. Dry Creek Rd., Centennial, CO 80112",ARW,"Arrow Electronics, Inc",23825,2.3,522.8,5.0,14206,4413.0,42a07b2a1395e23784795afd5f0d7b3f
118,119,Qualcomm,http://www.qualcomm.com,30500,Technology,Semiconductors and Other Electronic Components,"San Diego, CA",5775 Morehouse Dr.,San Diego,CA,92121,858-587-1121,Steven M. Mollenkopf,Chief Executive Officer & Director,"5775 Morehouse Dr., San Diego, CA 92121",QCOM,Qualcomm Incorporated,23554,-6.8,5705.0,8.2,52359,31778.0,589cd066e39f3858dca026410530971f
119,120,Progressive,http://www.progressive.com,31721,Financials,Insurance: Property and Casualty (Stock),"Mayfield Village, OH",6300 Wilson Mills Rd.,Mayfield Village,OH,44143,440-461-5000,Susan Patricia Griffith,"President, Chief Executive Officer & Director","6300 Wilson Mills Rd., Mayfield Village, OH 44143",PGR,The Progressive Corporation,23441,12.4,1031.0,-18.7,33428,7957.0,a7b06d68b7ba663a00b235eb1ea11fd2
120,121,Duke Energy,http://www.duke-energy.com,28798,Energy,Utilities: Gas and Electric,"Charlotte, NC",550 S. Tryon St.,Charlotte,NC,28202,704-382-3853,Lynn J. Good,"Chairman, President & Chief Executive Officer","550 S. Tryon St., Charlotte, NC 28202",DUK,Duke Energy Corporation,23369,-1.0,2152.0,-23.6,132761,41033.0,9dd5ddec8ff60bded9987ac72b9393c3
121,122,Enterprise Products Partners,http://www.enterpriseproducts.com,6800,Energy,Pipelines,"Houston, TX",1100 Louisiana St.,Houston,TX,77002,713-381-6500,A. James Teague,Chief Executive Officer & Director,"1100 Louisiana St., Houston, TX 77002",EPD,Enterprise Products Partners L.P.,23022,-14.8,2513.1,-0.3,52194,22047.0,200d24e330b9c410c0a23a0eb14ee139
122,123,Amgen,http://www.amgen.com,19200,Health Care,Pharmaceuticals,"Thousand Oaks, CA",1 Amgen Center Dr.,Thousand Oaks,CA,91320,805-447-1000,Robert A. Bradway,Chairman & Chief Executive Officer,"1 Amgen Center Dr., Thousand Oaks, CA 91320",AMGN,Amgen Inc.,22991,6.1,7722.0,11.3,77626,29875.0,0606365684796825a633d3fdc41ecbc9
123,124,US Foods Holding,http://www.usfoods.com,25000,Wholesalers,Wholesalers: Food and Grocery,"Rosemont, IL",9399 W. Higgins Rd.,Rosemont,IL,60018,847-720-8000,Pietro Satriano,"President, Chief Executive Officer & Director","9399 W. Higgins Rd., Rosemont, IL 60018",USFD,US Foods Holding Corp.,22919,-0.9,209.8,25.2,8945,2538.0,fc19da30874b7929b25166e9b43c45d2
124,125,U.S. Bancorp,http://www.usbank.com,71191,Financials,Commercial Banks,"Minneapolis, MN",800 Nicollet Mall,Minneapolis,MN,55402,651-466-3000,Andrew J. Cecere,"President, Chief Executive Officer & Director","800 Nicollet Mall, Minneapolis, MN 55402",USB,U.S. Bancorp,22744,5.8,5888.0,0.2,445964,47298.0,8838b1277cf46cb6dbaccd6bf3cafe86
125,126,Aflac,http://www.aflac.com,10212,Financials,"Insurance: Life, Health (Stock)","Columbus, GA",1932 Wynnton Rd.,Columbus,GA,31999,706-323-3431,Daniel P. Amos,Chairman & Chief Executive Officer,"1932 Wynnton Rd., Columbus, GA 31999",AFL,Aflac Incorporated,22559,8.1,2659.0,5.0,129819,20482.0,a01b602c18e68d44e3a6a2dc03278795
126,127,Sears Holdings,http://www.searsholdings.com,140000,Retailing,General Merchandisers,"Hoffman Estates, IL",3333 Beverly Rd.,Hoffman Estates,IL,60179,847-286-2500,Edward S. Lampert,Chairman & Chief Executive Officer,"3333 Beverly Rd., Hoffman Estates, IL 60179",SHLD,Sears Holdings Corporation,22138,-12.0,-2221.0,5.0,9362,-3824.0,5bf1717f28c7ada36eff0c375a88133f
127,128,Dollar General,http://www.dollargeneral.com,121000,Retailing,Specialty Retailers: Other,"Goodlettsville, TN",100 Mission Ridge,Goodlettsville,TN,37072,615-855-4000,Todd J. Vasos,Chief Executive Officer & Director,"100 Mission Ridge, Goodlettsville, TN 37072",DG,Dollar General Corporation,21987,7.9,1251.1,7.4,11672,5406.0,3ae06e18df07d41d08c2fe751cecad05
128,129,AutoNation,http://www.autonation.com,26000,Retailing,"Automotive Retailing, Services","Fort Lauderdale, FL",200 S.W. First Ave.,Fort Lauderdale,FL,33301,954-769-6000,Michael J. Jackson,Chairman & Chief Executive Officer,"200 S.W. First Ave., Fort Lauderdale, FL 33301",AN,"AutoNation, Inc.",21609,3.6,430.5,-2.7,10060,2310.0,51c52e91c30c3de15aee4d33c4e354f4
129,130,Community Health Systems,http://www.chs.net,108000,Health Care,Health Care: Medical Facilities,"Franklin, TN",4000 Meridian Blvd.,Franklin,TN,37067,615-465-7000,Wayne T. Smith,Chairman & Chief Executive Officer,"4000 Meridian Blvd., Franklin, TN 37067",CYH,"Community Health Systems, Inc.",21374,-5.8,-1721.0,-1189.2,21944,1615.0,4b82a1c1ff278b9fcf98f45a907cf64c
130,131,Starbucks,http://www.starbucks.com,254000,"Hotels, Restaurants & Leisure",Food Services,"Seattle, WA",2401 Utah Ave. S.,Seattle,WA,98134,206-447-1575,Keven R. Johnson,"President, Chief Executive Officer & Director","2401 Utah Ave. S., Seattle, WA 98134",SBUX,Starbucks Corporation,21316,11.2,2817.7,2.2,14330,5884.0,a59055687726a1c2d0baf11c5dbc8163
131,132,Eli Lilly,http://www.lilly.com,41975,Health Care,Pharmaceuticals,"Indianapolis, IN",Lilly Corporate Center,Indianapolis,IN,46285,317-276-2000,David A. Ricks,"President, Chief Executive Officer & Director","Lilly Corporate Center, Indianapolis, IN 46285",LLY,Eli Lilly and Company,21222,6.3,2737.6,13.7,38806,14008.0,c6631904774073570a1a9a713b7ab4ba
132,133,International Paper,http://www.internationalpaper.com,55000,Materials,"Packaging, Containers","Memphis, TN",6400 Poplar Ave.,Memphis,TN,38197,901-419-9000,Mark S. Sutton,Chairman & Chief Executive Officer,"6400 Poplar Ave., Memphis, TN 38197",IP,International Paper Company,21079,-5.8,904.0,-3.6,33345,4341.0,7be5a9f2346c6c5898231d9d7e37cb7c
133,134,Tenet Healthcare,http://www.tenethealth.com,116475,Health Care,Health Care: Medical Facilities,"Dallas, TX",1445 Ross Ave.,Dallas,TX,75202,469-893-2200,Trevor Fetter,"Chairman, President & Chief Executive Officer","1445 Ross Ave., Dallas, TX 75202",THC,Tenet Healthcare Corporation,21070,4.8,-192.0,-3.6,24701,417.0,6eacb15a63a910d3ebca9d1120cbffc0
134,135,Abbott Laboratories,http://www.abbott.com,75000,Health Care,Medical Products and Equipment,"Abbott Park, IL",100 Abbott Park Rd.,Abbott Park,IL,60064,224-667-6100,Miles D. White,Chairman & Chief Executive Officer,"100 Abbott Park Rd., Abbott Park, IL 60064",ABT,Abbott Laboratories,20853,0.9,1400.0,-68.3,52666,20538.0,78af9ef7afcc74e0ab048a18f099cdcc
135,136,Dollar Tree,http://www.dollartree.com,116050,Retailing,Specialty Retailers: Other,"Chesapeake, VA",500 Volvo Pkwy.,Chesapeake,VA,23320,757-321-5000,Bob Sasser,Chief Executive Officer & Director,"500 Volvo Pkwy., Chesapeake, VA 23320",DLTR,"Dollar Tree, Inc.",20719,33.7,896.2,217.4,15702,5390.0,b5479d8c36083aaa62576d241ff04476
136,137,Whirlpool,http://www.whirlpoolcorp.com,93000,Industrials,"Electronics, Electrical Equipment","Benton Harbor, MI",2000 North M-63,Benton Harbor,MI,49022,269-923-5000,Jeff M. Fettig,Chairman & Chief Executive Officer,"2000 North M-63, Benton Harbor, MI 49022",WHR,Whirlpool Corporation,20718,-0.8,888.0,13.4,19153,4773.0,a6ba81a36465bd6350dc35f9ce922f3f
137,138,Southwest Airlines,http://www.southwest.com,53536,Transportation,Airlines,"Dallas, TX",2702 Love Field Dr.,Dallas,TX,75235,214-792-4000,Gary C. Kelly,Chairman & Chief Executive Officer,"2702 Love Field Dr., Dallas, TX 75235",LUV,Southwest Airlines Co.,20425,3.1,2244.0,2.9,23286,8441.0,0939f575ba7fcf923e2cda16deb67158
138,139,Emerson Electric,http://www.emerson.com,103500,Industrials,"Electronics, Electrical Equipment","St. Louis, MO",8000 W. Florissant Ave.,St. Louis,MO,63136,314-553-2000,David N. Farr,Chairman & Chief Executive Officer,"8000 W. Florissant Ave., St. Louis, MO 63136",EMR,Emerson Electric Co.,20268,-9.1,1635.0,-39.7,21743,7568.0,3e589d64ff09daeab19012b9a6963c68
139,140,Staples,http://www.staples.com,61503,Retailing,Specialty Retailers: Other,"Framingham, MA",500 Staples Dr.,Framingham,MA,1702,508-253-5000,Shira D. Goodman,"President, Chief Executive Officer & Director","500 Staples Dr., Framingham, MA 01702",SPLS,"Staples, Inc.",20217,-4.0,-1497.0,-494.8,8271,3688.0,f1a919bb1740f568004688ffe1713b57
140,141,Plains GP Holdings,http://www.plainsallamerican.com,5100,Energy,Pipelines,"Houston, TX",333 Clay St.,Houston,TX,77002,713-646-4100,Greg L. Armstrong,Chairman & Chief Executive Officer,"333 Clay St., Houston, TX 77002",PAGP,"Plains GP Holdings, L.P.",20182,-12.8,94.0,-20.3,26103,1737.0,44acd690897e0ed8728ace6c751979db
141,142,Penske Automotive Group,http://www.penskeautomotive.com,24000,Retailing,"Automotive Retailing, Services","Bloomfield Hills, MI",2555 Telegraph Rd.,Bloomfield Hills,MI,48302,248-648-2500,Roger S. Penske,Chairman & Chief Executive Officer,"2555 Telegraph Rd., Bloomfield Hills, MI 48302",PAG,"Penske Automotive Group, Inc.",20143,4.0,342.9,5.2,8861,1751.0,9ad393d85b9f181960f662251e95ed9c
